,area_type,availability,location,size,society,total_sqft,bath,balcony,price
2684,Super built-up  Area,Ready To Move,Thigalarapalya,2 BHK,Prtanha,1165,2.0,2.0,95.0
2685,Super built-up  Area,19-Mar,Horamavu Agara,3 BHK,Prhar G,1756,3.0,2.0,92.0
2686,Super built-up  Area,Ready To Move,Bharathi Nagar,3 BHK,FoapeWa,1739,3.0,1.0,105.0
2687,Super built-up  Area,Ready To Move,Varthur,2 BHK,Caiseur,1280,2.0,,65.0
2688,Super built-up  Area,Ready To Move,Marathahalli,2 BHK,,1215,2.0,2.0,58.86
2689,Super built-up  Area,18-Apr,Munnekollal,2 BHK,Sadhii ,950,2.0,1.0,46.5
2690,Built-up  Area,Ready To Move,Kengeri,3 BHK,,1082,2.0,1.0,49.0
2691,Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,,1050,2.0,1.0,42.0
2692,Super built-up  Area,Ready To Move,Devanahalli,2 BHK,Cerdsga,1080,2.0,0.0,53.35
2693,Super built-up  Area,Ready To Move,Arekere,2 BHK,Maierr ,1100,2.0,2.0,55.0
2694,Plot  Area,Ready To Move,Ardendale,4 Bedroom,Aling10,3200,4.0,1.0,205.0
2695,Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,PraleSi,1311,2.0,1.0,78.0
2696,Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,GrrvaGr,1608,3.0,1.0,67.98
2697,Super built-up  Area,Ready To Move,Begur Road,2 BHK,,1160,2.0,2.0,36.0
2698,Super built-up  Area,Ready To Move,Whitefield,2 BHK,Veitaus,1170,2.0,1.0,71.0
2699,Super built-up  Area,Ready To Move,Kengeri,2 BHK,,1155,2.0,2.0,40.6
2700,Super built-up  Area,18-Dec,Hebbal,3 BHK,Magiaya,1255,2.0,1.0,77.68
2701,Super built-up  Area,Ready To Move,Rayasandra,2 BHK,,1065,2.0,2.0,44.95
2702,Super built-up  Area,Ready To Move,Neeladri Nagar,1 BHK,Guenoa ,674,1.0,1.0,21.0
2703,Super built-up  Area,Ready To Move,Ambedkar Nagar,3 BHK,,1936,4.0,2.0,126.0
2704,Super built-up  Area,18-Dec,Sarakki Nagar,3 BHK,,2289,3.0,2.0,260.0
2705,Super built-up  Area,Ready To Move,Abbaiah Reddy Layout,2 BHK,,1100,2.0,1.0,38.45
2706,Super built-up  Area,Ready To Move,Ramagondanahalli,3 BHK,DNeremo,2257,4.0,2.0,157.0
2707,Super built-up  Area,Ready To Move,Nagarbhavi,2 BHK,,1055,2.0,2.0,55.0
2708,Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,GrrvaGr,1530,3.0,3.0,51.87
2709,Super built-up  Area,Ready To Move,Dinnur,3 BHK,,1700,3.0,1.0,97.0
2710,Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,Tentsw ,1575,2.0,2.0,78.0
2711,Built-up  Area,Ready To Move,Frazer Town,3 BHK,Nanorkr,3500,4.0,2.0,330.0
2712,Super built-up  Area,Ready To Move,Rajiv Nagar,2 BHK,Ahntyve,1263,2.0,1.0,93.32
2714,Super built-up  Area,Ready To Move,Kengeri Satellite Town,2 BHK,MB-laan,1043,2.0,2.0,65.0
2715,Super built-up  Area,Ready To Move,Hennur,2 BHK,Shateor,1255,2.0,2.0,53.5
2717,Super built-up  Area,18-Dec,Chandapura,1 BHK,Siageal,590,1.0,0.0,13.57
2718,Plot  Area,Ready To Move,Yelahanka,3 Bedroom,Edreelm,1550,3.0,1.0,120.0
2719,Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,,1220,3.0,3.0,56.0
2720,Super built-up  Area,Ready To Move,Rustam Bagh Layout,3 BHK,Jants V,1900,3.0,3.0,160.0
2721,Super built-up  Area,Ready To Move,Vasantha Vallabha Nagar,3 BHK,,1360,3.0,3.0,55.0
2722,Built-up  Area,Ready To Move,Vyalikaval,2 BHK,,1100,2.0,1.0,75.0
2723,Super built-up  Area,20-Mar,8th Phase JP Nagar,3 BHK,Vaarech,1455,3.0,2.0,73.31
2724,Built-up  Area,Ready To Move,KR Puram,2 BHK,Hivesdr,1035,2.0,1.0,40.5
2725,Super built-up  Area,Ready To Move,Harlur,2 BHK,,1152,2.0,2.0,69.0
2726,Super built-up  Area,Ready To Move,Bellandur,2 BHK,OriewLa,1299,2.0,2.0,82.0
2727,Super built-up  Area,18-Nov,Sarjapur  Road,3 BHK,AsastDe,1157,2.0,1.0,75.0
2728,Super built-up  Area,Ready To Move,Rachenahalli,2 BHK,Sovar S,1050,2.0,2.0,52.5
2729,Super built-up  Area,Ready To Move,Pai Layout,2 BHK,,1050,2.0,2.0,40.0
2730,Super built-up  Area,Ready To Move,Vittasandra,2 BHK,,1246,2.0,1.0,67.4
2731,Built-up  Area,Ready To Move,"Sarjapur Road, ",3 BHK,,1929,3.0,2.0,115.0
2732,Super built-up  Area,Ready To Move,Hennur,2 BHK,,1285,2.0,1.0,60.0
2733,Plot  Area,Ready To Move,Margondanahalli,3 Bedroom,,1200,2.0,0.0,65.0
2734,Built-up  Area,Ready To Move,"Banaswadi, ",4 BHK,,3161,4.0,3.0,214.0
2735,Built-up  Area,Ready To Move,BTM 2nd Stage,3 BHK,SNe 2ev,1850,3.0,,170.0
2736,Built-up  Area,Ready To Move,Sompura,3 BHK,Suiseit,1025,2.0,0.0,37.0
2737,Built-up  Area,Ready To Move,Malleshwaram,2 BHK,SaeneSe,1124,3.0,2.0,80.0
2738,Super built-up  Area,19-Dec,Balagere,2 BHK,Soresea,1012,2.0,1.0,54.59
2739,Super built-up  Area,Ready To Move,Giri Nagar,7 BHK,Bancyri,4500,5.0,3.0,250.0
2740,Super built-up  Area,Ready To Move,8th Phase JP Nagar,2 BHK,i1rtsCo,871,2.0,2.0,55.0
2741,Built-up  Area,Ready To Move,Chinnapanahalli,2 BHK,Mae 2ow,1020,2.0,2.0,40.0
2742,Super built-up  Area,Ready To Move,Rachenahalli,3 BHK,Sovar S,1550,3.0,3.0,73.5
2743,Plot  Area,Ready To Move,Anand Nagar,3 Bedroom,,3515,3.0,1.0,420.0
2744,Super built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,DLhtsnd,1410,2.0,2.0,80.0
2745,Plot  Area,18-Dec,Chikka Tirupathi,4 Bedroom,Theanmp,3500,5.0,3.0,150.0
2746,Super built-up  Area,18-Apr,Whitefield,2 BHK,Prtates,1118,2.0,1.0,75.0
2747,Super built-up  Area,Ready To Move,Thanisandra,2 BHK,Bhmesy ,1098,2.0,1.0,68.0
2748,Super built-up  Area,Ready To Move,Kanakapura,2 BHK,,1130,2.0,1.0,45.2
2749,Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,Trurea ,1145,2.0,2.0,75.0
2750,Plot  Area,Ready To Move,Kadugodi,3 Bedroom,,950,3.0,1.0,80.0
2751,Super built-up  Area,Ready To Move,Balaji Gardens Layout,2 BHK,GSnts A,1051,2.0,1.0,33.0
2752,Plot  Area,Ready To Move,Thavarekere,7 Bedroom,,600,7.0,,108.0
2753,Super built-up  Area,18-Apr,Marathahalli,2 BHK,,1102,2.0,2.0,53.67
2754,Super built-up  Area,Ready To Move,Jalahalli,2 BHK,Tahtsla,1478,2.0,2.0,125.0
2755,Super built-up  Area,18-Aug,Chandapura,1 BHK,SunceEs,645,1.0,1.0,16.45
2756,Carpet  Area,18-Dec,Hebbal,2 BHK,Arcia S,823,2.0,1.0,50.63
2757,Super built-up  Area,21-Dec,Abbigere,2 BHK,,880,2.0,1.0,35.0
2758,Built-up  Area,Ready To Move,KR Puram,4 Bedroom,,600,5.0,2.0,75.0
2759,Super built-up  Area,Ready To Move,Budigere,3 BHK,PrityTr,1991,4.0,2.0,100.0
2760,Built-up  Area,Ready To Move,TC Palaya,3 BHK,,1100,3.0,1.0,50.0
2761,Super built-up  Area,Ready To Move,Gubbalala,3 BHK,MauilTr,1745,3.0,2.0,115.0
2762,Built-up  Area,17-Sep,HAL 2nd Stage,2 BHK,,1226,3.0,1.0,135.0
2763,Plot  Area,Ready To Move,Begur Road,3 Bedroom,,680,4.0,1.0,68.0
2764,Super built-up  Area,Ready To Move, Devarabeesana Halli,2 BHK,,1100,2.0,1.0,70.0
2765,Plot  Area,Ready To Move,Banashankari Stage VI,4 Bedroom,,1200,4.0,3.0,195.0
2766,Super built-up  Area,Ready To Move,5th Phase JP Nagar,2 BHK,Sorta S,1450,2.0,1.0,58.0
2767,Super built-up  Area,Ready To Move,Singasandra,4 BHK,,3366,4.0,,120.0
2768,Built-up  Area,Ready To Move,Sahakara Nagar,2 BHK,,1150,2.0,1.0,54.0
2769,Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,Puestol,1843,3.0,2.0,95.84
2770,Plot  Area,Ready To Move,Banashankari Stage VI,4 Bedroom,,2200,4.0,2.0,195.0
2771,Built-up  Area,Ready To Move,Bommanahalli,2 BHK,,1090,3.0,2.0,44.0
2772,Super built-up  Area,Ready To Move,Kaggadasapura,2 BHK,Binorn ,1132,2.0,2.0,42.0
2773,Super built-up  Area,Ready To Move,Hulimavu,2 BHK,RatosAr,1375,2.0,2.0,80.0
2774,Plot  Area,Ready To Move,7th Phase JP Nagar,4 Bedroom,,1500,5.0,3.0,220.0
2775,Super built-up  Area,Ready To Move,Thanisandra,1 BHK,Bhmesy ,760,1.0,2.0,50.3
2776,Super built-up  Area,Ready To Move,Kaggadasapura,2 BHK,,1180,2.0,2.0,65.0
2777,Super built-up  Area,Ready To Move,Jigani,2 BHK,DLhtsan,918,2.0,2.0,45.0
2778,Plot  Area,Ready To Move,Rachenahalli,5 Bedroom,,600,5.0,,50.0
2779,Built-up  Area,Ready To Move,Margondanahalli,2 Bedroom,,1200,1.0,0.0,53.0
2780,Super built-up  Area,Ready To Move,HSR Layout,2 BHK,SrisePo,1372,2.0,1.0,61.0
2781,Plot  Area,Ready To Move,1st Block HRBR Layout,7 Bedroom,,2400,7.0,3.0,355.0
2782,Super built-up  Area,Ready To Move,Ardendale,3 BHK,SoystAm,1728,3.0,2.0,95.0
2783,Super built-up  Area,Ready To Move,Malleshwaram,3 BHK,Sariaat,2215,3.0,1.0,275.0
2784,Super built-up  Area,Ready To Move,BTM 2nd Stage,2 BHK,Crentt ,1200,2.0,2.0,80.0
2785,Super built-up  Area,Ready To Move,6th Phase JP Nagar,2 BHK,Vador S,1280,2.0,,56.0
2786,Plot  Area,Ready To Move,Hulimavu,4 Bedroom,,800,4.0,,110.0
2787,Super built-up  Area,Ready To Move,Byrasandra,3 BHK,ViisePa,1455,2.0,2.0,56.0
2788,Super built-up  Area,20-Aug, Rachenahalli,1 RK,AsNowre,440,1.0,0.0,28.0
2789,Plot  Area,Ready To Move,Kanakpura Road,3 Bedroom,Nathira,1500,3.0,2.0,97.0
2790,Super built-up  Area,Ready To Move,Whitefield,3 BHK,Brony H,1800,3.0,,110.0
2791,Super built-up  Area,Ready To Move,Mysore Road,3 BHK,,1525,3.0,2.0,96.0
2792,Super built-up  Area,Ready To Move,Rachenahalli,2 BHK,,1204,2.0,3.0,38.5
2793,Super built-up  Area,19-Dec,Old Madras Road,2 BHK,SheldGr,1225,2.0,1.0,53.55
2794,Built-up  Area,Ready To Move,Kalyan nagar,6 Bedroom,,800,6.0,3.0,98.0
2795,Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,Esave E,1650,3.0,,122.0
2796,Built-up  Area,Ready To Move,Electronic City,3 BHK,Itelaa ,880,2.0,1.0,18.0
2797,Built-up  Area,Ready To Move,Bikasipura,4 Bedroom,,4200,4.0,2.0,255.0
2798,Plot  Area,Ready To Move,Tippenahalli,2 Bedroom,,1200,2.0,0.0,55.0
2799,Plot  Area,Ready To Move,Sarjapur  Road,4 Bedroom,,1152,4.0,1.0,230.0
2800,Super built-up  Area,Ready To Move,9th Phase JP Nagar,2 BHK,NaensGa,1005,2.0,1.0,42.0
2801,Super built-up  Area,20-Dec,Whitefield,3 BHK,Oreldhi,1562,3.0,2.0,103.0
2802,Built-up  Area,Ready To Move,Devanahalli,4 Bedroom,Soyleif,5000,5.0,2.0,395.0
2803,Plot  Area,Ready To Move,Babusapalaya,6 Bedroom,,810,5.0,2.0,95.0
2804,Super built-up  Area,Ready To Move,Ramamurthy Nagar,2 BHK,,1200,2.0,3.0,42.0
2805,Super built-up  Area,Ready To Move,Kasavanhalli,3 BHK,,1555,3.0,2.0,82.5
2806,Plot  Area,Ready To Move,KR Puram,2 Bedroom,,1550,2.0,1.0,71.0
2807,Super built-up  Area,Ready To Move,Whitefield,2 BHK,BainePr,1190,2.0,2.0,67.0
2808,Built-up  Area,Ready To Move,Chikkalasandra,2 BHK,KsonsCa,1070,2.0,2.0,50.0
2810,Super built-up  Area,Ready To Move,Jalahalli East,2 BHK,ShshaSa,1020,2.0,1.0,42.48
2811,Super built-up  Area,Ready To Move,Yelahanka,3 BHK,,1610,3.0,1.0,115.0
2812,Super built-up  Area,Ready To Move,Prestige Sunrise,1 BHK,,700,1.0,1.0,41.0
2813,Super built-up  Area,Ready To Move,Akshaya Vana,3 BHK,Rainet ,1300,2.0,1.0,49.0
2814,Super built-up  Area,Ready To Move,Hebbal,2 BHK,Mahosya,1420,2.0,1.0,123.0
2815,Plot  Area,Ready To Move,Vidyaranyapura,9 Bedroom,,1200,9.0,2.0,100.0
2816,Carpet  Area,18-Dec,Hebbal,3 BHK,Arcia S,1069,3.0,2.0,65.4
2817,Super built-up  Area,Ready To Move,Marathahalli,3 BHK,PueraRi,1900,3.0,3.0,123.0
2818,Super built-up  Area,18-May,Old Airport Road,2 BHK,Jaades ,1655,2.0,1.0,97.65
2819,Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,SLnssPr,1155,2.0,2.0,40.42
2820,Built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Esatea ,1300,2.0,2.0,70.0
2821,Super built-up  Area,Ready To Move,Electronic City,2 BHK,Amhidte,1100,2.0,2.0,45.0
2822,Super built-up  Area,Ready To Move,Doddathoguru,2 BHK,Arensh ,1030,2.0,2.0,42.0
2823,Super built-up  Area,Ready To Move,Vittasandra,2 BHK,Prlla C,2105,2.0,1.0,70.2
2824,Built-up  Area,Ready To Move,Bhoganhalli,3 BHK,Prsun S,1700,3.0,2.0,126.0
2825,Super built-up  Area,Ready To Move,Jakkur,3 BHK,BrdgeNo,1760,3.0,2.0,139.0
2826,Built-up  Area,Ready To Move,Kadugodi,9 Bedroom,,6200,9.0,0.0,200.0
2827,Built-up  Area,Ready To Move,1st Stage Indira Nagar,2 BHK,,1400,2.0,1.0,67.0
2828,Super built-up  Area,Ready To Move,Srigandada Kaval,2 BHK,,1200,2.0,0.0,53.0
2829,Built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,Haaceal,912,2.0,1.0,55.0
2830,Super built-up  Area,Ready To Move,Whitefield,2 BHK,,1102,2.0,1.0,48.0
2831,Super built-up  Area,Ready To Move,Channasandra Layout,3 BHK,Aconyit,1535,3.0,1.0,55.0
2832,Super built-up  Area,Ready To Move,Haralur Road,2 BHK,RInceeg,1243,2.0,2.0,46.0
2833,Super built-up  Area,Ready To Move,Jigani,2 BHK,DLhtsan,918,2.0,2.0,63.2
2834,Super built-up  Area,Ready To Move,Begur Road,3 BHK,MJilayl,1500,2.0,3.0,70.0
2835,Plot  Area,Ready To Move,Mathikere Extension,3 Bedroom,,3000,3.0,0.0,250.0
2836,Super built-up  Area,Ready To Move,Kasavanhalli,3 BHK,HMwerCo,1476,3.0,0.0,89.0
2837,Super built-up  Area,18-Apr,Mysore Road,2 BHK,,1200,2.0,3.0,65.0
2838,Super built-up  Area,21-Jun,Vijayanagar,1 BHK,Saityat,606,1.0,0.0,34.78
2839,Super built-up  Area,Ready To Move,Viswajit Layout,2 BHK,,1100,2.0,3.0,61.0
2840,Super built-up  Area,Ready To Move,Garudachar Palya,3 BHK,,1295,2.0,1.0,59.5
2841,Built-up  Area,Ready To Move,Neeladri Nagar,1 BHK,AdingSV,527,1.0,0.0,26.0
2842,Super built-up  Area,Ready To Move,OMBR Layout,2 BHK,Drerspe,1300,2.0,2.0,80.0
2843,Plot  Area,Ready To Move,Bommanahalli,3 Bedroom,,680,4.0,1.0,68.0
2844,Plot  Area,Ready To Move,Adityanagar,1 Bedroom,,1260,1.0,0.0,41.0
2845,Built-up  Area,Ready To Move,Koramangala,2 BHK,Vaanda ,1140,2.0,1.0,75.2
2846,Plot  Area,Ready To Move,BDS Layout,1 Bedroom,,1500,1.0,0.0,37.5
2847,Super built-up  Area,18-Dec,Whitefield,3 BHK,Prtates,2321,4.0,1.0,128.0
2848,Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,,1390,2.0,2.0,62.0
2849,Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Asncywo,1725,3.0,3.0,90.0
2850,Super built-up  Area,18-May,Hebbal,4 BHK,SNontle,3067,4.0,1.0,310.0
2851,Super built-up  Area,18-Mar,Hennur Road,3 BHK,Koagati,1186,2.0,1.0,63.0
2852,Super built-up  Area,18-Dec,Kanakpura Road,2 BHK,PrityFa,1230,2.0,1.0,85.0
2853,Built-up  Area,Ready To Move, Mysore Highway,1 BHK,,600,1.0,1.0,17.0
2854,Super built-up  Area,18-Dec,Yeshwanthpur,3 BHK,,1313,3.0,1.0,96.0
2855,Plot  Area,Ready To Move,TC Palaya,2 Bedroom,,900,2.0,0.0,55.0
2856,Super built-up  Area,Ready To Move,Ambalipura,2 BHK,,1250,2.0,2.0,66.25
2857,Plot  Area,Ready To Move,HBR Layout,9 Bedroom,,1200,6.0,3.0,280.0
2858,Super built-up  Area,19-Dec,Binny Pete,1 BHK,She 2rk,660,1.0,1.0,54.0
2859,Super built-up  Area,Ready To Move,Basavangudi,2 BHK,Tinori ,1036,2.0,2.0,105.0
2860,Built-up  Area,Ready To Move,Koramangala,4 BHK,,2700,4.0,3.0,450.0
2861,Super built-up  Area,Ready To Move,Old Madras Road,2 BHK,Teilsaf,1100,2.0,1.0,70.0
2863,Plot  Area,Ready To Move,BTM 2nd Stage,4 Bedroom,,1500,2.0,1.0,450.0
2864,Plot  Area,Ready To Move,Singasandra,4 Bedroom,,525,5.0,2.0,56.0
2865,Built-up  Area,Ready To Move,Electronics City Phase 1,2 BHK,GaicaVe,1015,2.0,1.0,56.0
2866,Plot  Area,Ready To Move,Gottigere,1 Bedroom,,812,1.0,0.0,26.0
2867,Built-up  Area,Ready To Move,Narayana Nagar 1st Block,3 BHK,,1360,2.0,2.0,65.0
2868,Super built-up  Area,Ready To Move,Nehru Nagar,3 BHK,Ceste C,2167,3.0,3.0,170.0
2869,Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,,1200,2.0,1.0,35.0
2870,Super built-up  Area,Ready To Move,Gopalkrishna Nagar,2 BHK,MJarlPe,1165,2.0,2.0,75.0
2871,Super built-up  Area,Ready To Move,BTM 2nd Stage,2 BHK,NDclenn,1274,2.0,2.0,70.0
2872,Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,GrrvaGr,1151,2.0,2.0,39.02
2873,Plot  Area,Ready To Move,Vidyaranyapura,6 Bedroom,,1060,6.0,3.0,110.0
2874,Super built-up  Area,Ready To Move,Thubarahalli,3 BHK,ShdhiSa,1626,2.0,2.0,120.0
2875,Super built-up  Area,Ready To Move,Banashankari Stage V,2 BHK,,1035,2.0,2.0,35.77
2876,Plot  Area,Ready To Move,Shanthi Layout,3 Bedroom,,1272,4.0,0.0,75.0
2877,Built-up  Area,Ready To Move,Jeevan bima nagar,2 BHK,,965,2.0,1.0,45.0
2878,Plot  Area,Ready To Move,Esther Enclave Layout,5 Bedroom,,1600,5.0,2.0,140.0
2879,Super built-up  Area,Ready To Move,Kothannur,2 BHK,,1070,2.0,1.0,42.79
2880,Built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,Spensas,1570,2.0,2.0,65.0
2882,Super built-up  Area,Ready To Move,Keerthi Layout,2 BHK,NianaKe,780,2.0,2.0,25.0
2883,Super built-up  Area,Ready To Move,Ganga Nagar Extension,3 BHK,,1000,2.0,1.0,65.0
2884,Plot  Area,Ready To Move,9th Phase JP Nagar,4 Bedroom,,1200,3.0,2.0,188.0
2885,Built-up  Area,Ready To Move,Tindlu,7 Bedroom,,7500,7.0,2.0,400.0
2886,Built-up  Area,Ready To Move,5th Phase JP Nagar,3 BHK,,1700,2.0,3.0,100.0
2887,Super built-up  Area,Ready To Move,Haralur Road,3 BHK,RBersll,1850,3.0,,110.0
2888,Built-up  Area,Ready To Move,Kereguddadahalli,2 BHK,DSdorSp,904,2.0,1.0,30.0
2889,Super built-up  Area,Ready To Move,Shikaripalya,2 BHK,ALtonea,1121,2.0,1.0,43.72
2890,Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,Vasta C,1385,2.0,2.0,58.17
2891,Super built-up  Area,Ready To Move,Sahakara Nagar,2 BHK,Rauil T,1270,2.0,1.0,69.85
2892,Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,JRrnauv,1450,3.0,3.0,56.0
2893,Plot  Area,Ready To Move,Huttanahalli,3 Bedroom,,2400,4.0,2.0,325.0
2894,Super built-up  Area,Ready To Move,Mahadevpura,1 BHK,,730,1.0,1.0,35.0
2895,Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,GrrvaGr,1580,3.0,3.0,53.56
2896,Super built-up  Area,Ready To Move,Thanisandra,2 BHK,Teire G,1111,2.0,1.0,50.0
2897,Plot  Area,Ready To Move,Kengeri,4 Bedroom,,1125,2.0,1.0,88.0
2898,Super built-up  Area,Ready To Move,Varthur,2 BHK,Maine J,977,2.0,2.0,36.0
2899,Super built-up  Area,18-Dec,Gunjur Palya,2 BHK,,674,1.0,1.0,19.9
2900,Plot  Area,18-Apr,Nagarbhavi,3 Bedroom,,600,3.0,1.0,83.0
2901,Plot  Area,Ready To Move,Sarjapur,4 Bedroom,Puodsm ,2540,4.0,1.0,115.0
2902,Super built-up  Area,17-Dec,Jakkur,2 BHK,BrdgeNo,1290,2.0,1.0,100.0
2903,Plot  Area,Ready To Move,Kumaraswami Layout,3 Bedroom,,600,3.0,1.0,98.0
2904,Super built-up  Area,Ready To Move,Abbigere,2 BHK,SLtias ,795,2.0,1.0,32.54
2905,Super built-up  Area,20-Dec,Kanakpura Road,2 BHK,PrarePa,700,1.0,1.0,35.0
2906,Built-up  Area,Ready To Move,Ambedkar Colony,2 BHK,RMcesa ,1463,1.0,1.0,142.0
2907,Built-up  Area,Ready To Move,Vijayanagar,3 Bedroom,,1000,3.0,0.0,140.0
2908,Super built-up  Area,Ready To Move,Reliable Woods Layout,3 BHK,,1306,2.0,2.0,58.0
2909,Super built-up  Area,Ready To Move,4th T block Jayanagar,3 BHK,,2401,3.0,2.0,185.0
2910,Plot  Area,Ready To Move,Bommenahalli,4 Bedroom,Prana S,1670,3.0,0.0,135.0
2911,Built-up  Area,Ready To Move,Jayanagar,3 BHK,Rathira,1875,2.0,3.0,235.0
2912,Plot  Area,Ready To Move,Marsur,3 Bedroom,AreraRe,1200,3.0,1.0,90.0
2913,Super built-up  Area,Ready To Move,Dodda Nekkundi,3 BHK,,1804,3.0,2.0,121.0
2914,Super built-up  Area,Ready To Move,1st Phase JP Nagar,3 BHK,Prhtsok,2065,4.0,1.0,210.0
2915,Super built-up  Area,Ready To Move,Hoskote,3 BHK,Deiveer,1225,3.0,1.0,40.0
2917,Super built-up  Area,Ready To Move,Bellandur,2 BHK,Trows M,900,2.0,2.0,56.0
2918,Super built-up  Area,19-Dec,Binny Pete,2 BHK,She 2rk,1350,2.0,1.0,91.0
2919,Super built-up  Area,Ready To Move,Kaggalipura,1 BHK,Baowsig,700,1.0,0.0,36.0
2921,Super built-up  Area,Ready To Move,Poorna Pragna Layout,2 BHK,,1160,2.0,1.0,46.39
2922,Super built-up  Area,Ready To Move,Hennur Road,3 BHK,ChionCo,1680,3.0,,99.27
2923,Carpet  Area,Ready To Move,LB Shastri Nagar,2 BHK,CharkR ,1043,2.0,2.0,55.0
2924,Plot  Area,Ready To Move,Hoskote,4 Bedroom,,1200,4.0,1.0,120.0
2925,Super built-up  Area,Ready To Move,Hebbal,2 BHK,Diaveic,1040,2.0,2.0,46.0
2926,Super built-up  Area,Ready To Move,Tindlu,3 BHK,Shmolti,1357,2.0,2.0,65.0
2927,Plot  Area,Ready To Move,Nayandanahalli,7 Bedroom,,1600,7.0,1.0,104.0
2928,Super built-up  Area,18-Aug,Vibhutipura Extension,2 BHK,,1225,2.0,2.0,47.0
2929,Plot  Area,Ready To Move,Sunkadakatte,9 Bedroom,,1500,6.0,1.0,80.0
2930,Super built-up  Area,Ready To Move,Yelachenahalli,2 BHK,,1130,2.0,2.0,40.0
2931,Built-up  Area,Ready To Move,Basavangudi,4 Bedroom,,2500,4.0,1.0,150.0
2932,Carpet  Area,Ready To Move,Sultan Palaya,3 BHK,,1700,3.0,3.0,120.0
2933,Super built-up  Area,Ready To Move,Doddathoguru,3 BHK,SKterAs,1549,3.0,2.0,65.0
2934,Super built-up  Area,Ready To Move,Yeshwanthpur,2 BHK,Goandn ,1400,2.0,2.0,100.0
2935,Super built-up  Area,Ready To Move,Dodda Nekkundi,2 BHK,MavarSa,1080,2.0,2.0,50.0
2936,Built-up  Area,Ready To Move,Ulsoor,2 BHK,Rilor C,1180,2.0,2.0,100.0
2937,Plot  Area,Ready To Move,Chandra Layout,7 Bedroom,,780,7.0,3.0,150.0
2938,Super built-up  Area,Ready To Move,Domlur,3 BHK,Saiewas,1800,3.0,2.0,150.0
2939,Super built-up  Area,18-Aug,Haralur Road,2 BHK,SNnia E,1225,2.0,1.0,67.38
2940,Built-up  Area,Ready To Move,Chandra Layout,1 BHK,,890,1.0,1.0,75.0
2941,Super built-up  Area,Ready To Move,Abbigere,2 BHK,SLtias ,1005,2.0,1.0,39.59
2942,Super built-up  Area,Ready To Move,Whitefield,2 BHK,BrlisCo,1320,2.0,1.0,95.0
2943,Built-up  Area,Ready To Move,Anandapura,4 BHK,,1475,2.0,1.0,50.0
2945,Super built-up  Area,Ready To Move,Hagadur,2 BHK,SSoraba,1110,2.0,2.0,51.0
2946,Plot  Area,18-Apr,Popular Colony,2 Bedroom,,1300,2.0,0.0,54.0
2947,Plot  Area,Ready To Move,Vajarahalli,5 Bedroom,,600,3.0,1.0,86.0
2948,Super built-up  Area,18-Aug,Electronic City,2 BHK,Prarkun,1128,2.0,1.0,65.35
2950,Plot  Area,Ready To Move,8th block Koramangala,3 Bedroom,,2400,3.0,2.0,290.0
2951,Super built-up  Area,18-Jul,Banashankari,3 BHK,Rallse ,2600,4.0,1.0,135.0
2952,Super built-up  Area,Ready To Move,Sarakki Nagar,3 BHK,Sowerew,2500,4.0,2.0,325.0
2953,Built-up  Area,Ready To Move,Sanjay nagar,2 BHK,,630,1.0,1.0,35.0
2954,Super built-up  Area,Ready To Move,Hosa Road,2 BHK,,1243,2.0,2.0,48.5
2955,Built-up  Area,Ready To Move,Soundarya Layout,2 BHK,Goe 3la,960,2.0,2.0,32.0
2956,Super built-up  Area,Ready To Move,"Banashankari 6th Stage ,Subramanyapura",3 BHK,,1690,3.0,2.0,100.0
2957,Built-up  Area,Ready To Move,Whitefield,2 BHK,JahanSa,735,2.0,1.0,35.0
2958,Super built-up  Area,Ready To Move,Banaswadi,2 BHK,,1365,2.0,2.0,73.0
2959,Super built-up  Area,Ready To Move,Rajaji Nagar,5 BHK,Pumesim,2849,5.0,0.0,300.0
2960,Super built-up  Area,Ready To Move,Hebbal,2 BHK,Mahosya,1420,2.0,1.0,99.39
2961,Super built-up  Area,Ready To Move,Somasundara Palya,3 BHK,,1570,3.0,3.0,68.0
